Firm,Year,Borrowings,total_assets,debt_equity,debt_assets,int_coverage,current_ratio,roce,credit_rating
Reliance,2021,278962,1320065,0.398419246,0.211324442,3.81282741,1,8,AAA
Reliance,2022,319158,1498622,0.409447263,0.212967646,7.445213933,1.1,8,AAA
Reliance,2023,451664,1605882,0.630928434,0.281256033,7.271881866,1.1,9,AAA
Reliance,2024,350719,1755048,0.442000502,0.19983442,7.029068258,1.1,10,AAA
Reliance,2025,374313,1949713,0.443919592,0.191983641,6.823437307,1,10,AAA
UltraTech,2021,21719,86176,0.491658178,0.252030728,7.784656797,1.2,15,AAA
UltraTech,2022,11299,83811,0.224026489,0.134815239,12.18412698,1,14,AAA
UltraTech,2023,11058,91380,0.203552692,0.121011162,12.90400972,1,13,AAA
UltraTech,2024,11403,100797,0.189330544,0.113128367,13.40805785,0.8,15,AAA
UltraTech,2025,24102,133632,0.340871484,0.180360991,7.751059964,0.7,11,AAA
Asian Paints,2021,1093,20355,0.085350617,0.05369688,52.7826087,2.2,34,AAA
Asian Paints,2022,1587,22958,0.114900087,0.069126231,50.56842105,2.3,29,AAA
Asian Paints,2023,1933,25779,0.120872936,0.074983514,43.47222222,2.4,34,AAA
Asian Paints,2024,2474,29901,0.132101666,0.082739708,37,2.3,38,AAA
Asian Paints,2025,2290,30355,0.118041237,0.075440619,26.45814978,2.3,26,AAA
Bharti Airtel,2021,162785,344417,2.76126745,0.472639272,3.000397588,0.6,7,AAA
Bharti Airtel,2022,169678,361207,2.549478619,0.469752801,3.462566201,0.5,11,AAA
Bharti Airtel,2023,226020,444557,2.914018282,0.508416244,3.692953368,0.5,12,AAA
Bharti Airtel,2024,215592,442019,2.628561675,0.48774374,3.439288237,0.4,13,AAA
Bharti Airtel,2025,213642,505006,1.879460201,0.423048439,4.116736037,0.3,13,AAA
Tata Steel,2021,88501,243909,1.192109269,0.362844339,4.009990798,1,12,AA+
Tata Steel,2022,75561,282422,0.660250081,0.267546438,11.62394727,0.6,31,AA+
Tata Steel,2023,84893,285396,0.823548243,0.297456867,5.127798063,0.7,13,AA+
Tata Steel,2024,87082,269312,0.946183517,0.323349869,2.963239212,0.7,7,AA+
Tata Steel,2025,94801,275459,1.039838103,0.344156481,3.446124506,0.6,9,AA+
Vedanta,2021,57669,183496,0.925993128,0.31427933,5.243378119,0.6,17,AA
Vedanta,2022,53583,193947,0.819524953,0.276276509,9.344173442,0.7,28,AA
Vedanta,2023,80329,189455,2.037617634,0.424000422,5.531084337,0.6,20,AA
Vedanta,2024,87706,188118,2.85482716,0.466228644,3.730797676,0.5,21,AA
Vedanta,2025,91479,199940,2.219717558,0.45753226,4.426495116,0.6,12,AA
Tata Power,2021,46708,98655,2.092371097,0.473447874,1.725935162,0.5,8,AA+
Tata Power,2022,51195,112550,2.281213796,0.454864505,1.821974605,0.6,9,AA+
Tata Power,2023,52923,128096,1.838370154,0.413151074,1.767612077,0.4,12,AA+
Tata Power,2024,53689,139054,1.659321301,0.386101802,2.317073171,0.5,11,AA+
Tata Power,2025,62866,156193,1.75402472,0.402489228,2.647809443,0.5,11,AA+
Indigo,2021,29860,42974,420.5633803,0.69483874,0.000921659,1.1,-14,AA-
Indigo,2022,36878,45860,-6.076540755,0.804143044,0.233864208,0.9,-13,AA-
Indigo,2023,44860,59043,-7.110477096,0.759785241,2.058396465,1.1,7,AA-
Indigo,2024,51280,82069,26.54244306,0.624840074,3.880941065,1.2,25,AA-
Indigo,2025,67088,115914,7.209112401,0.578773919,3.516462108,1.5,17,AA-
Suzlon,2021,6925,6601,-2.071492671,1.049083472,0.539156627,0.7,10,A+
Suzlon,2022,6465,6475,-1.833522405,0.998455598,1.224489796,0.9,21,A+
Suzlon,2023,1938,5523,1.763421292,0.350896252,1.978622328,0.8,20,A+
Suzlon,2024,150,7179,0.038255547,0.020894275,6.323170732,1.1,25,A+
Suzlon,2025,323,12960,0.052898788,0.02492284,7.305882353,1.4,33,A+
Vodafone Idea,2021,201720,203478,-5.27676049,0.991360245,0.941549061,0.3,-4,A-
Vodafone Idea,2022,213761,194029,-3.449705479,1.101696138,0.761069539,0.4,-5,A-
Vodafone Idea,2023,237766,207243,-3.197541656,1.147281211,0.717350347,0.3,-4,A-
Vodafone Idea,2024,243809,184997,-2.34055891,1.317907858,0.662578592,0.3,-4,A-
Vodafone Idea,2025,233229,197855,-3.316680887,1.178787496,0.73540317,0.6,-2,A-
